V3	V5
GRMZM2G395778	"Zm00001eb334630,Zm00001eb334640,Zm00001eb334650,Zm00001eb334670,Zm00001eb334680,Zm00001eb334690,Zm00001eb334700,Zm00001eb334710,Zm00001eb334730,Zm00001eb334720"
GRMZM2G700375	"Zm00001eb334630,Zm00001eb334640,Zm00001eb334650,Zm00001eb334670,Zm00001eb334680,Zm00001eb334690,Zm00001eb334700,Zm00001eb334710,Zm00001eb334730,Zm00001eb334720"
GRMZM2G366953	"Zm00001eb334630,Zm00001eb334640,Zm00001eb334650,Zm00001eb334670,Zm00001eb334680,Zm00001eb334690,Zm00001eb334700,Zm00001eb334710,Zm00001eb334730,Zm00001eb334720"
GRMZM2G069153	"Zm00001eb334630,Zm00001eb334640,Zm00001eb334650,Zm00001eb334670,Zm00001eb334680,Zm00001eb334690,Zm00001eb334700,Zm00001eb334710,Zm00001eb334730,Zm00001eb334720"
GRMZM2G113421	"Zm00001eb334630,Zm00001eb334640,Zm00001eb334650,Zm00001eb334670,Zm00001eb334680,Zm00001eb334690,Zm00001eb334700,Zm00001eb334710,Zm00001eb334730,Zm00001eb334720"
GRMZM2G113400	"Zm00001eb334630,Zm00001eb334640,Zm00001eb334650,Zm00001eb334670,Zm00001eb334680,Zm00001eb334690,Zm00001eb334700,Zm00001eb334710,Zm00001eb334730,Zm00001eb334720"
GRMZM2G113378	"Zm00001eb334630,Zm00001eb334640,Zm00001eb334650,Zm00001eb334670,Zm00001eb334680,Zm00001eb334690,Zm00001eb334700,Zm00001eb334710,Zm00001eb334730,Zm00001eb334720"
GRMZM2G333045	"Zm00001eb334630,Zm00001eb334640,Zm00001eb334650,Zm00001eb334670,Zm00001eb334680,Zm00001eb334690,Zm00001eb334700,Zm00001eb334710,Zm00001eb334730,Zm00001eb334720"
GRMZM2G034611	"Zm00001eb334630,Zm00001eb334640,Zm00001eb334650,Zm00001eb334670,Zm00001eb334680,Zm00001eb334690,Zm00001eb334700,Zm00001eb334710,Zm00001eb334730,Zm00001eb334720"
GRMZM2G333022	"Zm00001eb334630,Zm00001eb334640,Zm00001eb334650,Zm00001eb334670,Zm00001eb334680,Zm00001eb334690,Zm00001eb334700,Zm00001eb334710,Zm00001eb334730,Zm00001eb334720"
GRMZM2G034543	"Zm00001eb334630,Zm00001eb334640,Zm00001eb334650,Zm00001eb334670,Zm00001eb334680,Zm00001eb334690,Zm00001eb334700,Zm00001eb334710,Zm00001eb334730,Zm00001eb334720"
GRMZM2G502350	"Zm00001eb334630,Zm00001eb334640,Zm00001eb334650,Zm00001eb334670,Zm00001eb334680,Zm00001eb334690,Zm00001eb334700,Zm00001eb334710,Zm00001eb334730,Zm00001eb334720"
GRMZM2G034428	"Zm00001eb334630,Zm00001eb334640,Zm00001eb334650,Zm00001eb334670,Zm00001eb334680,Zm00001eb334690,Zm00001eb334700,Zm00001eb334710,Zm00001eb334730,Zm00001eb334720"
AC187090.3_FG011	"Zm00001eb334630,Zm00001eb334640,Zm00001eb334650,Zm00001eb334670,Zm00001eb334680,Zm00001eb334690,Zm00001eb334700,Zm00001eb334710,Zm00001eb334730,Zm00001eb334720"
GRMZM2G473511	"Zm00001eb334630,Zm00001eb334640,Zm00001eb334650,Zm00001eb334670,Zm00001eb334680,Zm00001eb334690,Zm00001eb334700,Zm00001eb334710,Zm00001eb334730,Zm00001eb334720"
GRMZM5G825193	"Zm00001eb334630,Zm00001eb334640,Zm00001eb334650,Zm00001eb334670,Zm00001eb334680,Zm00001eb334690,Zm00001eb334700,Zm00001eb334710,Zm00001eb334730,Zm00001eb334720"
AC187090.3_FG003	"Zm00001eb334630,Zm00001eb334640,Zm00001eb334650,Zm00001eb334670,Zm00001eb334680,Zm00001eb334690,Zm00001eb334700,Zm00001eb334710,Zm00001eb334730,Zm00001eb334720"
GRMZM2G473485	"Zm00001eb334630,Zm00001eb334640,Zm00001eb334650,Zm00001eb334670,Zm00001eb334680,Zm00001eb334690,Zm00001eb334700,Zm00001eb334710,Zm00001eb334730,Zm00001eb334720"
GRMZM2G093072	"Zm00001eb334630,Zm00001eb334640,Zm00001eb334650,Zm00001eb334670,Zm00001eb334680,Zm00001eb334690,Zm00001eb334700,Zm00001eb334710,Zm00001eb334730,Zm00001eb334720"
GRMZM2G077900	"Zm00001eb334630,Zm00001eb334640,Zm00001eb334650,Zm00001eb334670,Zm00001eb334680,Zm00001eb334690,Zm00001eb334700,Zm00001eb334710,Zm00001eb334730,Zm00001eb334720"
GRMZM2G077914	"Zm00001eb334630,Zm00001eb334640,Zm00001eb334650,Zm00001eb334670,Zm00001eb334680,Zm00001eb334690,Zm00001eb334700,Zm00001eb334710,Zm00001eb334730,Zm00001eb334720"
GRMZM2G064750	"Zm00001eb334630,Zm00001eb334640,Zm00001eb334650,Zm00001eb334670,Zm00001eb334680,Zm00001eb334690,Zm00001eb334700,Zm00001eb334710,Zm00001eb334730,Zm00001eb334720"
GRMZM2G137861	"Zm00001eb034290,Zm00001eb034300,Zm00001eb034310,Zm00001eb034320"
GRMZM2G438776	"Zm00001eb034290,Zm00001eb034300,Zm00001eb034310,Zm00001eb034320"
GRMZM2G137755	"Zm00001eb034290,Zm00001eb034300,Zm00001eb034310,Zm00001eb034320"
AC213670.4_FG004	"Zm00001eb034290,Zm00001eb034300,Zm00001eb034310,Zm00001eb034320"
GRMZM2G703843	"Zm00001eb034290,Zm00001eb034300,Zm00001eb034310,Zm00001eb034320"
GRMZM2G426147	"Zm00001eb034290,Zm00001eb034300,Zm00001eb034310,Zm00001eb034320"
GRMZM2G384731	"Zm00001eb034290,Zm00001eb034300,Zm00001eb034310,Zm00001eb034320"
AC211196.3_FG004	"Zm00001eb034290,Zm00001eb034300,Zm00001eb034310,Zm00001eb034320"
GRMZM2G533147	"Zm00001eb034290,Zm00001eb034300,Zm00001eb034310,Zm00001eb034320"
GRMZM2G050481	"Zm00001eb034290,Zm00001eb034300,Zm00001eb034310,Zm00001eb034320"
GRMZM2G349864	"Zm00001eb034290,Zm00001eb034300,Zm00001eb034310,Zm00001eb034320"
GRMZM2G050536	"Zm00001eb034290,Zm00001eb034300,Zm00001eb034310,Zm00001eb034320"
GRMZM2G072621	"Zm00001eb414870,Zm00001eb414880,Zm00001eb414890"
GRMZM2G107616	"Zm00001eb414870,Zm00001eb414880,Zm00001eb414890"
GRMZM2G107595	"Zm00001eb414870,Zm00001eb414880,Zm00001eb414890"
GRMZM2G107521	"Zm00001eb414870,Zm00001eb414880,Zm00001eb414890"
GRMZM2G700899	"Zm00001eb414870,Zm00001eb414880,Zm00001eb414890"
GRMZM2G407393	"Zm00001eb414870,Zm00001eb414880,Zm00001eb414890"
